,Sample,Samples,Curing agent,P (%),Si (%),Tonset (Â°C),Tmax d (C),AH e (Kj/ee),Vectors,Ref
0,1.0,Gly-HPO,DDM,5.9,-,120.0,150.0,82.0,['Gly-HPO'],j.polymdegradstab.2008.02.014_3_0
1,2.0,Gly-HPO,BAMPO,8.5,-,137.0,168.0,95.0,['Gly-HPO'],j.polymdegradstab.2008.02.014_3_0
2,3.0,Gly-HPO,APDS,5.5,2.5,112.0,143.0,82.0,['Gly-HPO'],j.polymdegradstab.2008.02.014_3_0
3,4.0,DGMPS,DDM,-,7.7,120.0,157.0,83.0,['DGMPS'],j.polymdegradstab.2008.02.014_3_0
4,5.0,DGMPS,BAMPO,4.0,7.2,132.0,172.0,-,['DGMPS'],j.polymdegradstab.2008.02.014_3_0
5,6.0,DGMPS,APDS,-,10.4,117.0,145.0,84.0,['DGMPS'],j.polymdegradstab.2008.02.014_3_0
6,7.0,BGDMSB,DDM,-,12.8,111.0,168.0,83.0,['BGDMSB'],j.polymdegradstab.2008.02.014_3_0
7,8.0,BGDMSB,BAMPO,3.4,12.2,148.0,196.0,-,['BGDMSB'],j.polymdegradstab.2008.02.014_3_0
8,9.0,BGDMSB,APDS,-,14.7,129.0,162.0,83.0,['BGDMSB'],j.polymdegradstab.2008.02.014_3_0
9,10.0,Gly-HPO/DGMPS,DDM,3.5,3.2,119.0,159.0,88.0,"['Gly-HPO', 'DGMPS']",j.polymdegradstab.2008.02.014_3_0
10,11.0,Gly-HPO/DGMPS,BAMPO,6.6,3.0,136.0,170.0,-,"['Gly-HPO', 'DGMPS']",j.polymdegradstab.2008.02.014_3_0
11,12.0,Gly-HPO/DGMPS,APDS,3.2,5.8,111.0,142.0,82.0,"['Gly-HPO', 'DGMPS']",j.polymdegradstab.2008.02.014_3_0
12,13.0,Gly-HPO/BGDMSB,DDM,3.2,5.8,117.0,163.0,91.0,"['Gly-HPO', 'BGDMSB']",j.polymdegradstab.2008.02.014_3_0
13,14.0,Gly-HPO/BGDMSB,BAMPO,6.2,5.5,123.0,170.0,97.0,"['Gly-HPO', 'BGDMSB']",j.polymdegradstab.2008.02.014_3_0
14,15.0,Gly-HPO/BGDMSB,APDS,3.0,8.1,114.0,156.0,81.0,"['Gly-HPO', 'BGDMSB']",j.polymdegradstab.2008.02.014_3_0
