,Samples,Curing agent,P content (wt%),LOI (%),UL-94,Tg (Â°C),CY (%),Ref.,Vectors,Ref
0,CE-,DDM,2.4,28.5,1.0,137.5,23.5,62.0,"['CE', '']",j.progpolymsci.2021.101366_9_2
1,1,DICY,2.52,31.2,0.0,133.8,42.4,,['1'],j.progpolymsci.2021.101366_9_2
2,,PN,2.18,33.5,0.0,144.6,56.2,,[''],j.progpolymsci.2021.101366_9_2
3,,PMDA,2.38,32.9,0.0,138.2,54.6,,[''],j.progpolymsci.2021.101366_9_2
4,CE-,DDM,/,31.6,0.0,156.6,26.68,63.0,"['CE', '']",j.progpolymsci.2021.101366_9_2
5,2,DICY,,32.4,0.0,159.2,33.24,,['2'],j.progpolymsci.2021.101366_9_2
6,,PN,,30.2,0.0,166.5,37.72,,[''],j.progpolymsci.2021.101366_9_2
7,CE-,MeTHPA,,36.5,0.0,156.8,42.19,64.0,"['CE', '']",j.progpolymsci.2021.101366_9_2
8,3,DDM,,39.2,0.0,166.1,42.85,,['3'],j.progpolymsci.2021.101366_9_2
9,,PN,,38.7,0.0,170.4,48.32,,[''],j.progpolymsci.2021.101366_9_2
10,CE-,DDS,,32.5,0.0,159.8,38.48,65.0,"['CE', '']",j.progpolymsci.2021.101366_9_2
11,4,DDM,,31.1,0.0,157.7,31.01,,['4'],j.progpolymsci.2021.101366_9_2
12,,PN,/,30.8,0.0,164.6,36.3,,[''],j.progpolymsci.2021.101366_9_2
13,CTP-,DDM,5.8,33.5,0.0,167.0,39.0,66.0,"['CTP', '']",j.progpolymsci.2021.101366_9_2
14,EP,DDS,5.6,34.3,0.0,/,,,['EP'],j.progpolymsci.2021.101366_9_2
15,,mPDA,6.4,31.8,0.0,/,,,[''],j.progpolymsci.2021.101366_9_2
